mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0240075;NIRO-Schlauchschelle 40-60;;4250204403534;73269098;Stk;1;6,64;;2,50%;0,019;10,0;40,0;40,0
0240076;NIRO-SCHLAUCHSCHEL. 70-90;;4250204403541;73269098;Stk;1;7,63;;2,50%;0,023;40,0;40,0;40,0
0309925;2 Dübel, NIRO-Schrauben 8x70, U-Scheiben;;4250204403633;73181520;Stk;1;2,46;;2,50%;0,065;15,0;128,0;96,0
0309950;2 Dübel, NIRO-Schrauben 10x90, U-Scheiben;;4250204403640;73181520;Stk;1;4,79;;2,50%;0,123;20,0;132,0;115,0
0388060;"WZ-Dichtung PE 3/4"" max. 40°C";Maße: 29,5 x 23,3 x 3,0 mm;4250204403701;40169300;Stk;1;0,85;;2,50%;0,001;30,0;30,0;3,0
0388061;"WZ-Dichtung PE 1""  Max 40°C";Maße: 29 x 37 x 3,0 mm;4250204403718;40169300;Stk;1;0,99;;2,50%;0,001;10,0;10,0;26,0
0388062;WZ-Dichtung PE 1½ Max 40°C;Maße: 43 x 54 x 2,5 mm;4250204403725;40169300;Stk;1;1,15;;2,50%;0,001;10,0;10,0;39,0
0388259;"WZ-Dichtung EP ½"" max. 130°C";Maße: 17,0 x 24 x 3,0 mm;4250204479096;40169300;Stk;1;0,85;;2,50%;0,001;2,0;24,0;24,0
0388260;"WZ-Dichtung EP ¾"" max. 130°C";Maße: 23,2 x 30 x 2,0 mm;4250204403787;40027000;Stk;1;0,85;;2,50%;0,001;2,0;30,0;30,0
0388261;"WZ-Dichtung EP 1"" max. 130°C";Maße: 29,2 x 38 x 2,0 mm;4250204403794;40027000;Stk;1;0,99;;2,50%;0,001;10,0;10,0;26,0
0388262;"WZ-Dichtung EP 1½"" max. 130°C";Maße: 43,2 x 55 x 2,0 mm;4250204403800;40027000;Stk;1;1,15;;2,50%;0,002;10,0;10,0;39,0
0388263;"WZ-Dichtung EP 2""  max.130°C";Maße: 59 x 70 x 3,0 mm;4250204462449;40027000;Stk;1;1,27;;2,50%;0,005;10,0;10,0;51,0
0388459;"WZ-Heißwasser-Dichtung 1/2""MAX200°C PN 10";D: 23,5mm- d:17mm- Stärke: 2mm;4250204403824;40169300;Stk;1;0,99;;2,50%;0,001;2,0;17,0;26,0
0388460;"WZ-Heißwasser-Dichtung 3/4""MAX200°C PN 10";;4250204403831;90289090;Stk;1;0,99;;2,50%;0,001;2,0;30,0;24,0
0388461;"WZ-Heißwasser-Dichtung 1"" MAX200°C PN 10";;4250204403848;90289090;Stk;1;1,15;;2,50%;0,001;2,0;38,0;30,0
0388462;"WZ-Heißwasser-Dichtung 6/4""MAX200°C PN 10";;4250204403855;90289090;Stk;1;1,40;;2,50%;0,002;2,0;55,0;44,0
0392-CAC1CC;MEGARIPP Q3 16 KH-KMR-KH 1x300mm d50 d50;KH-KMR-KH, Si;4255651703343;90289090;Stk;1;6.471,85;;2,50%;158,492;1000,0;1530,0;1000,0
