mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0396080;"FLEXORIPP 1"" KH-DM-KH 1¼""x175mm Rd0,75m";;4250204493160;90289090;Stk;;1.270,09;;;31,2;682;1070;704
0396081;"FLEXORIPP 1"" KH-DM-KH 1¼""x175mm Rd1,00m";;4250204491708;90289090;Stk;;1.270,09;;;31,2;682;1070;704
0396082;"FLEXORIPP 1"" KH-DM-KH 1¼""x175mm Rd1,25m";;4250204491715;90289090;Stk;;1.305,17;;;36,1;682;1320;704
0396083;"FLEXORIPP 1"" KH-DM-KH 1¼""x175mm Rd1,50m";;4250204491722;90289090;Stk;;1.375,35;;;39,9;682;1570;704
0396084;"FLEXORIPP 1"" KH-DM-KH 1¼""x175mm Rd1,75m";;4250204491739;90289090;Stk;;1.487,63;;;43,9;682;1820;704
0396085;"FLEXORIPP 1"" KH-DM-KH 1¼""x175mm Rd2,00m";;4250204491746;90289090;Stk;;1.592,87;;;47,8;682;2070;704
0396090;"FLEXORIPP 1"" KH-DM-KH 1""x220mm Rd0,75m";;4250204493177;90289090;Stk;;1.270,09;;;31;682;1070;704
0396091;"FLEXORIPP 1"" KH-DM-KH 1""x220mm Rd1,00m";;4250204491753;90289090;Stk;;1.270,09;;;31;682;1070;704
0396092;"FLEXORIPP 1"" KH-DM-KH 1""x220mm Rd1,25m";;4250204491760;90289090;Stk;;1.305,17;;;35,9;682;1320;704
0396093;"FLEXORIPP 1"" KH-DM-KH 1""x220mm Rd1,50m";;4250204491777;90289090;Stk;;1.375,35;;;39,7;682;1570;704
0396094;"FLEXORIPP 1"" KH-DM-KH 1""x220mm Rd1,75m";;4250204491784;90289090;Stk;;1.487,63;;;43,7;682;1820;704
0396095;"FLEXORIPP 1"" KH-DM-KH 1""x220mm Rd2,00m";;4250204491791;90289090;Stk;;1.564,79;;;47,6;682;2070;704
0396110;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd0,75m";;4250204491807;90289090;Stk;;1.059,56;;;26,442;682;820;704
0396111;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd1,00m";;4250204490626;90289090;Stk;;1.059,56;;;30,1;682;1070;704
0396112;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd1,25m";;4250204490350;90289090;Stk;;1.101,69;;;33,66;682;1320;704
0396112-DIBT;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd1,25m";;4250204498004;90289090;Stk;;1.524,07;;;42,1;682;1320;704
0396113;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd1,50m";;4250204490633;90289090;Stk;;1.171,83;;;38,8;682;1570;704
0396113-WRS;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd1,50m";;4255651703367;90289090;Stk;;1.683,62;;;38,8;682;1570;704
0396114;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd1,75m";;4250204490640;90289090;Stk;;1.277,10;;;42,8;682;1820;704
